danceability;duration_ms;energy;instrumentalness;liveness;loudness;speechiness;tempo;key;popularity
0,72;84427;0,19;0;0,36;-13,88;0,11;125,69;3;6
0,73;536153;0,89;0,88;0,33;-4,89;0,08;135;9;0
0,75;155513;0,72;0;0,44;-3,74;0,09;128,03;0;59
0,81;186333;0,8;0,66;0,21;-10,55;0,05;130;6;0
0,15;216600;0,2;0;0,11;-21,31;0,05;93,22;9;0
0,59;124562;0,88;0;0,16;-8,21;0,04;131,04;0;10
0,55;723044;0,2;0;0,12;-21,54;0,85;86,16;11;0
0,62;215493;0,18;0;0,25;-14,57;0,14;64,07;3;15
0,49;43653;1;0,94;0,28;-5,4;0,05;132,01;6;3
0,74;402053;0,6;0;0,04;-11,79;0,05;126;1;24
0,51;183027;0,32;0;0,07;-10,66;0,03;112,91;5;0
0,53;246133;0,23;0;0,15;-13,88;0,05;110,18;6;0
0,71;262267;0,45;0;0,06;-12,2;0,38;175,38;1;41
0,74;377600;0,77;0,01;0,11;-6,28;0,03;125,01;8;0
0,62;168760;0,46;0,73;0,1;-11,3;0,14;199,69;7;21
0,87;236907;0,62;0;0,09;-5,66;0,1;105,23;7;38
0,4;271773;0,16;0;0,15;-16,99;0,04;85,18;7;23
0,51;283533;0,54;0;0,26;-12,67;0,05;107,45;4;13
0,35;449640;0,54;0,12;0,13;-8,68;0,03;99,18;9;0
0,59;497560;0,33;0,66;0,72;-15,61;0,06;95,07;5;36
0,25;411947;0,23;0,89;0,09;-14,88;0,04;97,56;7;0
0,61;189583;0,97;0,01;0,13;-5,69;0,15;128;10;0
0,71;181920;0,12;0,7;0,12;-14,75;0,13;132,51;2;0
0,7;416080;0,73;0;0,14;-7,78;0,1;127,99;9;0
0,36;235013;0,29;0;0,09;-14,14;0,05;179,81;4;12
0,65;133800;0,52;0;0,1;-8,72;0,2;97,05;10;53
0,48;302827;0,65;0;0,12;-12,25;0,03;78,23;7;33
0,49;66469;0,95;0;0,15;-8,46;0,07;129,99;8;8
0,43;207667;0,19;0;0,12;-15,91;0,03;80,89;2;0
0,47;72720;0,96;0,39;0,19;-6,83;0,05;132;4;4
0,83;188691;0,5;0;0,37;-7,36;0,14;92;8;0
0,58;172573;0,14;0,75;0,11;-18,07;0,04;113,05;2;0
0,23;243704;0,18;0,4;0,13;-18,76;0,04;68,41;6;1
0,69;360493;0,72;0,86;0,03;-7,8;0,05;128,01;9;0
0,77;230933;0,51;0;0,12;-10,27;0,05;94,1;0;0
0,59;261599;0,82;0,86;0,1;-8,94;0,03;121;10;0
0,54;68747;0,98;0;0,44;-8,08;0,12;138,01;1;3
0,4;444947;0,58;0,01;0,06;-15,01;0,56;87,28;0;26
0,42;202707;0,1;0;0,14;-18,14;0,06;67,12;10;0
0,41;208067;0,37;0;0,11;-13,06;0,04;105,54;9;25
0,2;600000;0,74;0,26;0,67;-9,29;0,08;88,24;9;1
0,16;265680;0,03;0,97;0,1;-29,41;0,04;134;9;0
0,91;155825;0,69;0;0,27;-3,15;0,07;103,01;0;89
0,48;64480;0,97;0,5;0,44;-5,71;0,05;133,99;11;5
0,8;530236;0,81;0,86;0,09;-9,92;0,05;124,99;4;0
0,21;354000;0,02;0;0,12;-28,38;0,05;112,42;10;42
0,8;195788;0,82;0;0,51;-6,55;0,05;100,02;7;0
0,33;341867;0,02;0,9;0,08;-24,98;0,04;81;5;39
0,58;290271;0,95;0,06;0,29;-2,82;0,16;175,07;1;1
0,35;258321;0,44;0;0,1;-9,17;0,03;114,68;10;0
0,39;282573;0,01;0,95;0,1;-32,45;0,04;67,03;7;53
0,85;258563;0,61;0;0,36;-7,98;0,1;122,96;5;1
0,51;124333;0,5;0;0,25;-12,69;0,05;76,26;11;33
0,25;833627;0,34;0,81;0,13;-16,31;0,05;77,53;10;0
0,49;138463;0,43;0,89;0,22;-13,27;0,04;141,81;5;0
0,52;116747;0,24;0;0,34;-17,09;0,2;101,21;4;0
0,21;64279;0,12;0;0,18;-23,39;0,04;131,07;10;6
0,39;71320;0,56;0,49;0,1;-7,5;0,05;148,55;7;0
0,49;217240;0,6;0,95;0,89;-14,72;0,12;107,32;9;5
0,8;410212;0,87;0,9;0,04;-6,26;0,05;127,01;2;0
0,53;141133;0,74;0;0,09;-9,29;0,17;134,2;1;9
0,54;205253;0,97;0;0,08;-6,09;0,04;155,99;1;0
0,35;817600;0,11;0,66;0,11;-22,28;0,04;121,38;3;21
0,66;172027;0,51;0;0,05;-9,93;0,25;130,49;0;55
0,2;148733;0,08;0;0,16;-26,16;0,04;109,2;7;25
0,66;217088;0,79;0;0,32;-4,59;0,03;142,02;1;79
0,16;217667;0,32;0,78;0,06;-10,18;0,03;142,19;7;36
0,33;200040;0,16;0;0,23;-12,35;0,03;114,83;9;0
0,25;181880;0,11;0;0,2;-20,85;0,04;95,7;6;0
0,7;95361;0,07;0;0,67;-18,43;0,17;72,62;9;4
