danceability;duration_ms;energy;instrumentalness;liveness;loudness;speechiness;tempo;key;popularity
0.57;42893;0.2;0;0.09;-6.56;0.04;120.14;0;med
0.78;103493;0.11;0;0.46;-14.42;0.34;139.89;4;med
0.5;368373;0.55;0.01;0.08;-5.42;0.03;90.04;2;med
0.62;263787;0.26;0;0.08;-14.09;0.04;73.09;2;med
0.36;144500;0.02;0.97;0.08;-27.87;0.06;114.35;0;high
0.8;192760;0.69;0;0.28;-5.84;0.08;96.99;6;med
0.67;275373;0.77;0;0.32;-6;0.03;129.95;6;high
0.76;245400;0.72;0;0.08;-5.8;0.06;119.41;10;med
0.25;323933;0.47;0;0.08;-7.88;0.03;113.11;11;med
0.69;211507;0.5;0;0.11;-7.27;0.04;83.53;6;med
0.4;253342;0.32;0;0.3;-7.03;0.04;118.58;1;high
0.76;257053;0.85;0;0.11;-5.89;0.05;100.01;9;med
0.35;409779;0.69;0;0.61;-7.41;0.36;88.86;10;med
0.75;480133;0.61;0.91;0.09;-14.95;0.04;125.24;5;med
0.28;192853;0.98;0.14;0.14;-3.69;0.1;105.22;7;med
0.57;280493;0.87;0;0.13;-5.09;0.07;94.03;10;med
0.7;174689;0.57;0;0.11;-6.16;0.05;85.7;6;med
0.7;181852;0.6;0;0.11;-7.07;0.21;85.02;2;high
0.64;310280;0.63;0.93;0.2;-11.64;0.04;91.92;5;med
0.7;416000;0.55;0.03;0.17;-7.71;0.11;80;5;high
0.51;185625;0.83;0;0.35;-4.51;0.06;128.03;7;med
0.65;203000;0.74;0;0.31;-4.97;0.03;123.08;5;high
0.73;247933;0.87;0;0.1;-3.72;0.04;127.99;0;high
0.58;332733;0.58;0;0.32;-5.51;0.03;126.95;6;med
0.72;265640;0.55;0;0.54;-11.84;0.09;96.16;7;med
0.15;270000;0.18;0.85;0.12;-16.18;0.04;75.61;11;med
0.62;218200;0.95;0;0.09;-3.11;0.03;104.77;7;med
0.87;109107;0.52;0;0.2;-11.51;0.27;110.06;11;high
0.27;235226;0.57;0;0.09;-7.28;0.25;179.52;2;high
0.69;256360;0.91;0;0.09;-5.02;0.04;126;6;med
0.45;210084;0.86;0;0.2;-2.35;0.04;139.06;6;med
0.9;218182;0.52;0;0.1;-7.29;0.15;132.01;4;high
0.58;381200;0.79;0.01;0.09;-9.71;0.03;113.04;8;med
0.45;196664;0.79;0;0.42;-5.15;0.05;137.83;0;med
0.66;235400;0.73;0;0.11;-8.1;0.44;88.5;11;med
0.72;270300;0.46;0;0.1;-10.41;0.17;106.95;5;med
0.33;220240;0.21;0.92;0.11;-17.34;0.03;153.53;4;med
0.7;280608.5;0.83;0;0.1;-4.48;0.17;94.14;2;med
0.57;222360;0.98;0;0.11;-3.87;0.26;193.98;1;med
0.16;228533;0.14;0.96;0.1;-19.71;0.04;169.38;4;med
0.75;120700;0.24;0;0.21;-15.85;0.04;94.22;6;med
0.57;143933;0.04;0.94;0.11;-22.91;0.04;104.02;3;med
0.68;231867;0.82;0;0.11;-3.31;0.24;180;1;med
0.58;189280;0.62;0;0.1;-6.83;0.04;159.97;4;med
0.56;222467;0.63;0;0.15;-5.68;0.03;107.93;1;med
0.45;67653;0.4;0;0.67;-14.57;0.08;107.72;0;med
0.63;159884;0.86;0;0.24;-2.51;0.05;167.64;5;med
0.67;174800;0.57;0;0.17;-6.36;0.04;166.11;1;high
0.65;195507;0.91;0;0.34;-5.02;0.04;124.01;10;med
0.83;289760;0.66;0;0.06;-7.07;0.05;134.87;7;med
0.33;211453;0.22;0;0.19;-8.98;0.03;109.57;7;high
0.74;250547;0.53;0;0.13;-9.69;0.03;102.99;2;med
0.1;445720;0.03;0.89;0.12;-21.13;0.04;67.07;2;med
0.67;204267;0.73;0;0.32;-10.35;0.05;93.4;2;med
0.7;277846.5;0.74;0;0.19;-4.31;0.05;153.82;11;med
0.67;219493;0.26;0;0.12;-13;0.04;147.45;7;med
0.38;223469;0.62;0;0.68;-12.17;0.08;85.93;5;med
0.56;232573;0.39;0;0.08;-9.4;0.03;81.9;8;med
0.47;177520;0.34;0;0.14;-13.28;0.06;145.44;3;med
0.59;178026;0.75;0.36;0.08;-6.6;0.05;149.93;1;med
0.79;211707;0.79;0;0.26;-4.54;0.05;127.95;2;med
0.72;236992;0.73;0;0.22;-5.22;0.07;152.01;1;med
0.71;173867;0.19;0;0.11;-12.34;0.03;81.88;8;med
0.65;282827;0.61;0;0.11;-6.56;0.03;130.01;7;med
0.3;199067;0.01;0.94;0.11;-30.75;0.04;148.58;8;med
0.73;159171;0.6;0;0.11;-10.02;0.32;98.02;6;high
0.45;93333;0.03;0;0.05;-31.28;0.03;83.31;3;med
0.43;200480;0.84;0;0.18;-4.54;0.04;147.39;4;med
0.83;309133;0.53;0;0.39;-13.37;0.36;91.55;6;med
0.56;304517;0.53;0.01;0.41;-6.11;0.03;93;4;med
0.61;156893;0.88;0;0.52;-4.12;0.04;121.04;7;med
0.55;225600;0.85;0;0.13;-5.06;0.04;96.91;9;med
0.57;169213;0.48;0;0.11;-12.31;0.04;81.58;1;med
0.63;112872;0.33;0;0.12;-9.23;0.05;119.81;0;med
0.1;421059;0.04;0.88;0.11;-23.09;0.05;74.48;2;med
0.7;191360;0.72;0;0.16;-4;0.05;130.01;0;med
0.11;227013;0.03;0.87;0.09;-29.43;0.04;91.64;0;med
