acousticness;danceability;duration_ms;energy;instrumentalness;loudness;speechiness;tempo;key;popularity
0,89;0,52;187932;0,13;0,03;-18,72;0,04;109,99;4;82
0,88;0,63;184638;0,31;0,08;-11,74;0,04;76,99;1;82
0,11;0,86;260545;0,67;0;-5,95;0,28;164,06;6;82
0,36;0,73;186133;0,76;0;-5,01;0,06;100,07;4;92
0,39;0,57;216473;0,36;0;-6,46;0,03;95,8;7;81
0,3;0,82;345241;0,72;0;-4,65;0,21;176,01;4;83
0,19;0,71;123429;0,6;0;-7,62;0,18;140,18;3;94
0,05;0,68;174027;0,81;0;-2,74;0,06;173,91;0;83
0,88;0,51;232305,5;0,2;0;-8,22;0,03;141,95;10;82
0,15;0,73;250428,33;0,76;0;-4,23;0,05;168;5;85,67
0,47;0,62;198853;0,44;0;-9,68;0,05;119,95;2;82
0,19;0,84;300801,5;0,68;0;-5,07;0,12;90,01;11;86
0,18;0,69;184560;0,77;0;-5,34;0,15;125,91;6;81
0,07;0,67;176547;0,77;0;-7,57;0,09;112,05;11;86
0,18;0,76;204180;0,83;0;-5,29;0,08;175,96;1;81
0,37;0,8;163005,5;0,63;0;-7,64;0,04;124,93;1;84,5
0,24;0,78;171375;0,48;0;-8,54;0,07;150;3;81,5
0,19;0,84;300801,5;0,68;0;-5,07;0,12;90,01;11;86
0,82;0,85;197587;0,53;0;-4,43;0,21;97,05;1;86
0,17;0,73;166028;0,87;0;-3,16;0,07;122,95;8;91
0,3;0,82;345241;0,72;0;-4,65;0,21;176,01;4;83
0,12;0,71;232853;0,62;0;-4,64;0,09;168,02;8;91
0,29;0,5;190218;0,76;0;-4,25;0,04;183,93;4;87
0,19;0,84;329224;0,75;0;-5,02;0,15;97,52;2;82
0,29;0,71;229827;0,67;0;-5,12;0,36;169,73;5;81
0,09;0,91;155825;0,69;0;-3,15;0,07;103,01;0;89
0,31;0,82;213314;0,82;0;-3,4;0,17;100;8;89
0,09;0,66;189728;0,8;0;-4,44;0,06;134,47;11;82,5
0,41;0,68;186878;0,7;0;-5,59;0,04;120,03;6;82
0,34;0,82;322447;0,74;0;-4,46;0,17;149,49;11;80,33
0,11;0,74;192921;0,85;0;-3,05;0,06;98,01;8;86
0,19;0,87;161668;0,56;0;-6,96;0,11;127,95;11;82
0,02;0,8;156960;0,83;0;-5,36;0,19;124,96;2;81
0,35;0,46;202002,75;0,44;0;-7,15;0,04;102,09;0;82,25
0,11;0,86;260545;0,67;0;-5,95;0,28;164,06;6;82
0,27;0,74;231937,67;0,71;0;-4,15;0,16;94,77;10;81
0,25;0,92;149610,33;0,5;0;-8,62;0,35;141,05;4;80,33
0,02;0,8;156960;0,83;0;-5,36;0,19;124,96;2;81
0,13;0,87;163993;0,76;0;-4,63;0,07;118,29;7;84,67
0,06;0,4;210463;0,49;0;-10,78;0,05;91,07;6;89
0,73;0,61;194853;0,38;0;-6,21;0,04;73,88;11;83
0,11;0,86;260545;0,67;0;-5,95;0,28;164,06;6;82
0,59;0,68;227186;0,61;0;-10,94;0,03;123,98;7;83
0,18;0,81;181675,2;0,57;0,03;-7,35;0,11;111,97;5;81,4
0,11;0,86;260545;0,67;0;-5,95;0,28;164,06;6;82
0,07;0,67;176547;0,77;0;-7,57;0,09;112,05;11;86
0,23;0,72;165978;0,54;0;-7,65;0,05;129,98;0;84
0,2;0,68;202008;0,52;0;-6,37;0,05;120,07;0;82
0,45;0,82;193797,5;0,55;0;-6,3;0,08;111,51;6;85,5
0,11;0,86;260545;0,67;0;-5,95;0,28;164,06;6;82
0;0,67;261013;0,87;0;-5,22;0,03;130,04;8;81
0,42;0,74;136839;0,62;0;-7,31;0,05;113,97;0;83
0,06;0,61;163053;0,56;0;-6,05;0,09;191,91;1;80
