acousticness;danceability;duration_ms;energy;instrumentalness;loudness;speechiness;tempo;key;popularity
0.89;0.52;187932.00;0.13;0.03;-18.72;0.04;109.99;4;nivel 9
0.88;0.63;184638.00;0.31;0.08;-11.74;0.04;76.99;1;nivel 9
0.11;0.86;260545.00;0.67;0.00;-5.95;0.28;164.06;6;nivel 9
0.36;0.73;186133.00;0.76;0.00;-5.01;0.06;100.07;4;nivel 9
0.39;0.57;216473.00;0.36;0.00;-6.46;0.03;95.80;7;nivel 9
0.30;0.82;345241.00;0.72;0.00;-4.65;0.21;176.01;4;nivel 9
0.19;0.71;123429.00;0.60;0.00;-7.62;0.18;140.18;3;nivel 9
0.05;0.68;174027.00;0.81;0.00;-2.74;0.06;173.91;0;nivel 9
0.88;0.51;232305.50;0.20;0.00;-8.22;0.03;141.95;10;nivel 9
0.15;0.73;250428.33;0.76;0.00;-4.23;0.05;168.00;5;nivel 9
0.47;0.62;198853.00;0.44;0.00;-9.68;0.05;119.95;2;nivel 9
0.19;0.84;300801.50;0.68;0.00;-5.07;0.12;90.01;11;nivel 9
0.18;0.69;184560.00;0.77;0.00;-5.34;0.15;125.91;6;nivel 9
0.07;0.67;176547.00;0.77;0.00;-7.57;0.09;112.05;11;nivel 9
0.18;0.76;204180.00;0.83;0.00;-5.29;0.08;175.96;1;nivel 9
0.37;0.80;163005.50;0.63;0.00;-7.64;0.04;124.93;1;nivel 9
0.24;0.78;171375.00;0.48;0.00;-8.54;0.07;150.00;3;nivel 9
0.19;0.84;300801.50;0.68;0.00;-5.07;0.12;90.01;11;nivel 9
0.82;0.85;197587.00;0.53;0.00;-4.43;0.21;97.05;1;nivel 9
0.17;0.73;166028.00;0.87;0.00;-3.16;0.07;122.95;8;nivel 9
0.30;0.82;345241.00;0.72;0.00;-4.65;0.21;176.01;4;nivel 9
0.12;0.71;232853.00;0.62;0.00;-4.64;0.09;168.02;8;nivel 9
0.29;0.50;190218.00;0.76;0.00;-4.25;0.04;183.93;4;nivel 9
0.19;0.84;329224.00;0.75;0.00;-5.02;0.15;97.52;2;nivel 9
0.29;0.71;229827.00;0.67;0.00;-5.12;0.36;169.73;5;nivel 9
0.09;0.91;155825.00;0.69;0.00;-3.15;0.07;103.01;0;nivel 9
0.31;0.82;213314.00;0.82;0.00;-3.40;0.17;100.00;8;nivel 9
0.09;0.66;189728.00;0.80;0.00;-4.44;0.06;134.47;11;nivel 9
0.41;0.68;186878.00;0.70;0.00;-5.59;0.04;120.03;6;nivel 9
0.34;0.82;322447.00;0.74;0.00;-4.46;0.17;149.49;11;nivel 9
0.11;0.74;192921.00;0.85;0.00;-3.05;0.06;98.01;8;nivel 9
0.19;0.87;161668.00;0.56;0.00;-6.96;0.11;127.95;11;nivel 9
0.02;0.80;156960.00;0.83;0.00;-5.36;0.19;124.96;2;nivel 9
0.35;0.46;202002.75;0.44;0.00;-7.15;0.04;102.09;0;nivel 9
0.11;0.86;260545.00;0.67;0.00;-5.95;0.28;164.06;6;nivel 9
0.27;0.74;231937.67;0.71;0.00;-4.15;0.16;94.77;10;nivel 9
0.25;0.92;149610.33;0.50;0.00;-8.62;0.35;141.05;4;nivel 9
0.02;0.80;156960.00;0.83;0.00;-5.36;0.19;124.96;2;nivel 9
0.13;0.87;163993.00;0.76;0.00;-4.63;0.07;118.29;7;nivel 9
0.06;0.40;210463.00;0.49;0.00;-10.78;0.05;91.07;6;nivel 9
0.73;0.61;194853.00;0.38;0.00;-6.21;0.04;73.88;11;nivel 9
0.11;0.86;260545.00;0.67;0.00;-5.95;0.28;164.06;6;nivel 9
0.59;0.68;227186.00;0.61;0.00;-10.94;0.03;123.98;7;nivel 9
0.18;0.81;181675.20;0.57;0.03;-7.35;0.11;111.97;5;nivel 9
0.11;0.86;260545.00;0.67;0.00;-5.95;0.28;164.06;6;nivel 9
0.07;0.67;176547.00;0.77;0.00;-7.57;0.09;112.05;11;nivel 9
0.23;0.72;165978.00;0.54;0.00;-7.65;0.05;129.98;0;nivel 9
0.20;0.68;202008.00;0.52;0.00;-6.37;0.05;120.07;0;nivel 9
0.45;0.82;193797.50;0.55;0.00;-6.30;0.08;111.51;6;nivel 9
0.11;0.86;260545.00;0.67;0.00;-5.95;0.28;164.06;6;nivel 9
0.00;0.67;261013.00;0.87;0.00;-5.22;0.03;130.04;8;nivel 9
0.42;0.74;136839.00;0.62;0.00;-7.31;0.05;113.97;0;nivel 9
0.06;0.61;163053.00;0.56;0.00;-6.05;0.09;191.91;1;nivel 9
0.01;0.50;235000.00;0.60;0.00;-6.64;0.04;140.08;4;nivel 9
0.21;0.69;313640.00;0.56;0.00;-5.69;0.09;92.02;5;nivel 8
0.27;0.70;211592.40;0.73;0.00;-4.16;0.07;102.83;9;nivel 8
0.56;0.58;200227.67;0.40;0.00;-8.71;0.04;119.84;10;nivel 8
0.21;0.65;173602.67;0.64;0.00;-4.65;0.04;129.13;1;nivel 8
0.03;0.65;203000.00;0.74;0.00;-4.97;0.03;123.08;5;nivel 8
0.16;0.60;222533.00;0.64;0.00;-6.94;0.04;115.41;0;nivel 9
0.39;0.57;216473.00;0.36;0.00;-6.46;0.03;95.80;7;nivel 9
0.30;0.80;275426.67;0.78;0.00;-4.67;0.13;149.48;1;nivel 9
0.32;0.82;129241.00;0.64;0.00;-7.25;0.16;138.02;5;nivel 8
0.10;0.55;180158.00;0.61;0.00;-7.26;0.08;124.39;7;nivel 8
0.26;0.90;106000.00;0.33;0.01;-9.73;0.09;100.01;1;nivel 8
0.82;0.45;184900.33;0.35;0.00;-11.51;0.04;71.90;9;nivel 8
0.18;0.69;184560.00;0.77;0.00;-5.34;0.15;125.91;6;nivel 9
0.11;0.88;226533.00;0.67;0.00;-2.96;0.11;87.97;9;nivel 9
0.22;0.77;233714.00;0.75;0.00;-4.64;0.10;127.52;4;nivel 8
0.39;0.88;161627.00;0.69;0.00;-4.03;0.12;97.96;6;nivel 8
0.18;0.76;204180.00;0.83;0.00;-5.29;0.08;175.96;1;nivel 9
0.32;0.67;231429.00;0.40;0.00;-9.14;0.03;125.98;9;nivel 8
0.24;0.74;183781.33;0.64;0.00;-3.45;0.05;104.66;7;nivel 9
0.24;0.66;199027.00;0.75;0.00;-2.97;0.06;128.91;9;nivel 8
0.39;0.51;219861.74;0.61;0.00;-6.27;0.06;120.76;6;nivel 8
0.71;0.75;185353.17;0.28;0.00;-10.66;0.07;105.97;9;nivel 8
0.20;0.66;192347.00;0.72;0.00;-5.61;0.05;136.96;7;nivel 8
0.18;0.77;289899.00;0.77;0.00;-3.50;0.07;167.97;0;nivel 8
0.29;0.71;229827.00;0.67;0.00;-5.12;0.36;169.73;5;nivel 9
0.07;0.68;192358.00;0.69;0.00;-5.64;0.05;91.01;4;nivel 9
0.52;0.64;334486.25;0.61;0.00;-6.59;0.20;125.99;11;nivel 8
0.00;0.66;217088.00;0.79;0.00;-4.59;0.03;142.02;1;nivel 8
0.16;0.79;136955.11;0.57;0.00;-6.13;0.11;145.96;5;nivel 9
0.39;0.72;233023.00;0.27;0.00;-15.47;0.05;86.04;5;nivel 8
0.18;0.78;132780.00;0.70;0.00;-6.87;0.09;150.00;4;nivel 8
0.37;0.33;218755.00;0.45;0.00;-5.36;0.03;123.83;10;nivel 8
0.04;0.88;231848.00;0.78;0.00;-4.25;0.12;102.02;1;nivel 8
0.13;0.55;232496.00;0.60;0.00;-5.40;0.08;83.84;11;nivel 8
0.34;0.82;322447.00;0.74;0.00;-4.46;0.17;149.49;11;nivel 9
0.02;0.80;156960.00;0.83;0.00;-5.36;0.19;124.96;2;nivel 9
0.01;0.61;232907.00;0.80;0.00;-4.45;0.03;103.01;9;nivel 9
0.62;0.68;210000.00;0.53;0.00;-5.88;0.03;112.01;9;nivel 9
0.27;0.74;231937.67;0.71;0.00;-4.15;0.16;94.77;10;nivel 9
0.21;0.67;177904.63;0.65;0.00;-6.13;0.22;116.29;7;nivel 8
0.25;0.92;149610.33;0.50;0.00;-8.62;0.35;141.05;4;nivel 9
0.02;0.80;156960.00;0.83;0.00;-5.36;0.19;124.96;2;nivel 9
0.03;0.82;183702.33;0.79;0.00;-5.63;0.04;119.33;6;nivel 9
0.45;0.75;172245.00;0.61;0.00;-7.03;0.10;149.97;0;nivel 8
0.17;0.60;174720.00;0.65;0.00;-6.98;0.13;89.73;7;nivel 8
0.00;0.45;90960.00;0.89;0.00;-4.78;0.08;143.98;9;nivel 8
0.18;0.81;181675.20;0.57;0.03;-7.35;0.11;111.97;5;nivel 9
0.75;0.73;147800.00;0.44;0.00;-9.92;0.06;130.06;6;nivel 8
0.09;0.71;166356.00;0.57;0.00;-7.86;0.05;130.02;5;nivel 8
0.00;0.67;215280.00;0.80;0.01;-5.70;0.03;133.93;11;nivel 8
0.61;0.77;154599.00;0.34;0.00;-13.17;0.78;76.23;0;nivel 8
0.76;0.72;155933.00;0.28;0.00;-12.25;0.06;112.87;7;nivel 8
0.15;0.67;155336.86;0.58;0.00;-6.49;0.12;116.90;9;nivel 8
0.12;0.76;165996.00;0.46;0.00;-7.76;0.04;119.22;10;nivel 8
0.18;0.84;160627.00;0.39;0.00;-7.90;0.08;129.97;2;nivel 9
0.00;0.67;261013.00;0.87;0.00;-5.22;0.03;130.04;8;nivel 9
0.64;0.60;230880.00;0.47;0.00;-4.95;0.03;113.82;4;nivel 9
0.06;0.52;174933.00;0.92;0.00;-2.86;0.10;90.07;2;nivel 8
0.50;0.65;181740.33;0.57;0.00;-6.47;0.17;104.46;11;nivel 9
0.33;0.80;135878.00;0.76;0.00;-5.39;0.03;129.96;2;nivel 8
0.46;0.83;146886.33;0.52;0.00;-8.71;0.27;90.73;0;nivel 8
0.03;0.53;193085.60;0.83;0.00;-3.95;0.06;130.42;6;nivel 8
0.14;0.71;157811.42;0.68;0.00;-4.68;0.09;129.35;9;nivel 8
0.80;0.88;189020.50;0.37;0.00;-11.44;0.09;100.49;9;nivel 8
0.10;0.65;327967.00;0.90;0.00;-4.57;0.08;121.99;6;nivel 8
