danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,key,popularity
0.73,317035,0.91,0.67,0.15,-5.26,0.05,121.01,11,25
0.44,293136,0.6,0.76,0.09,-7.04,0.11,174.1,11,0
0.57,42893,0.2,0,0.09,-6.56,0.04,120.14,0,52
0.52,224000,0.89,0.01,0.11,-8.35,0.05,135.03,8,10
0.78,103493,0.11,0,0.46,-14.42,0.34,139.89,4,55
0.5,368373,0.55,0.01,0.08,-5.42,0.03,90.04,2,56
0.7,195000,0.56,0,0.21,-6.05,0.04,76.95,11,0
0.59,173827,0.41,0,0.06,-8.89,0.26,142.45,0,28
0.35,263012,0.61,0,0.4,-5.77,0.03,152.18,4,12
0.62,263787,0.26,0,0.08,-14.09,0.04,73.09,2,54
0.83,225000,0.87,0,0.05,-6.74,0.05,116.98,1,0
0.36,144500,0.02,0.97,0.08,-27.87,0.06,114.35,0,66
0.8,192760,0.69,0,0.28,-5.84,0.08,96.99,6,65
0.67,275373,0.77,0,0.32,-6,0.03,129.95,6,66
0.57,220891,0.12,0.89,0.08,-25.04,0.04,130.05,2,0
0.76,245400,0.72,0,0.08,-5.8,0.06,119.41,10,42
0.25,323933,0.47,0,0.08,-7.88,0.03,113.11,11,50
0.12,427133.5,0.07,0.93,0.08,-23.98,0.04,114.65,8,9
0.8,414970,0.74,0.86,0.05,-6.93,0.05,126,2,0
0.39,187387,0.12,0,0.12,-17.12,0.03,75.44,7,26
0.37,316360,0.67,0.07,0.08,-12.38,0.04,93.89,7,22
0.49,77780,0.98,0.11,0.38,-6.66,0.06,135.01,11,5
0.77,123227,0.26,0.19,0.07,-11.62,0.06,95.36,8,0
0.6,176333,0.78,0,0.31,-7.32,0.03,137.14,9,39
0.63,161326,0.71,0,0.06,-11.3,0.08,124.59,7,2
0.39,261227,0.06,0.01,0.08,-20.38,0.04,136.99,0,37
0.41,208933,0.32,0.92,0.05,-16,0.05,101.92,0,25
0.75,215669,0.83,0,0.04,-7.31,0.04,127,0,0
0.69,211507,0.5,0,0.11,-7.27,0.04,83.53,6,50
0.4,253342,0.32,0,0.3,-7.03,0.04,118.58,1,75
0.81,413045,0.56,0.91,0.09,-11.13,0.06,126.02,7,0
0.76,257053,0.85,0,0.11,-5.89,0.05,100.01,9,60
0.78,439130,0.54,0.78,0.1,-14.77,0.05,123,11,1
0.7,153840,0.44,0.91,0.11,-7.82,0.04,144.88,8,33
0.75,184333,0.71,0,0.08,-7.05,0.08,90.03,8,5
0.35,409779,0.69,0,0.61,-7.41,0.36,88.86,10,60
0.6,222013,0.55,0,0.07,-11.74,0.04,142.33,0,25
0.75,480133,0.61,0.91,0.09,-14.95,0.04,125.24,5,43
0.4,43547,0.89,0.96,0.52,-12.6,0.05,132.26,11,9
0.28,192853,0.98,0.14,0.14,-3.69,0.1,105.22,7,41
0.57,280493,0.87,0,0.13,-5.09,0.07,94.03,10,42
0.55,98742,0.92,0.88,0.35,-5.43,0.04,131.54,3,15
0.36,687867,0.95,0.01,0.97,-3.35,0.06,93.03,11,6
0.67,311367,0.37,0.89,0.07,-10.87,0.11,128,1,0
0.7,174689,0.57,0,0.11,-6.16,0.05,85.7,6,42
0.7,181852,0.6,0,0.11,-7.07,0.21,85.02,2,72
0.64,310280,0.63,0.93,0.2,-11.64,0.04,91.92,5,52
0.26,151827,0.03,0.47,0.11,-21.37,0.04,69.31,11,1
