acousticness;danceability;duration_ms;energy;instrumentalness;liveness;loudness;speechiness;tempo;valence;key;popularity
8,7E+15;4,90667E+15;1823200;4,67833E+15;1591;44435;-101155;8715;1,18422E+16;3835;2;2483333333333330,00
8,42111E+15;4,26333E+15;2,72122E+16;3,67E+15;2,61344E+16;312;-1,26139E+15;1,01533E+16;9,00586E+15;4,35778E+15;8;2488888888888890,00
8,71273E+15;3,61697E+16;1,88551E+16;1,98333E+16;5,11408E+15;1,54858E+16;-1,56028E+16;3,27606E+15;1,09142E+16;2,61385E+15;7;2496969696969700,00
8,22161E+15;3,04513E+16;2,03024E+16;3,48908E+15;2,81263E+15;1,76373E+16;-1,21297E+16;3,6472E+15;1,04757E+14;3,06093E+14;5;2503813559322030,00
8,92889E+15;3,17111E+15;1,63816E+16;7,99444E+15;18644444444;1,93444E+16;-18711;3,92778E+16;9,52731E+15;3,85556E+15;5;2511111111111110,00
5,17556E+15;5,95333E+15;2,94419E+16;4,91778E+15;4,41367E+15;1,34267E+16;-1,43154E+16;3,73E+15;1,06665E+16;5,56444E+15;5;2511111111111110,00
2,48902E+16;4,78667E+15;1,10455E+16;9,12111E+15;2,35638E+15;4,62556E+15;-6,59867E+15;9,17222E+15;1,32862E+16;3,49556E+15;10;2511111111111110,00
9,08833E+15;4,09333E+15;2,73538E+16;251;3,2575E+16;2579;-1,62408E+16;6,99833E+15;82899;3,60833E+15;7;2516666666666670,00
8,37333E+15;4,22E+16;2093290;3,56333E+15;523333333,3;6885;-1,54078E+15;1,58317E+15;1,31493E+16;4,64833E+15;11;2516666666666670,00
8,71458E+15;4,52475E+15;2,166E+15;3,46608E+16;5,12466E+14;3,02625E+15;-1,25538E+16;9,67492E+14;1,08096E+16;3,86732E+15;8;2516949152542370,00
8,24667E+15;4,89238E+15;1,60112E+15;2,97267E+15;3,43508E+16;2,02048E+16;-1,67883E+16;3,72905E+15;1,14611E+16;5,70905E+15;4;2523809523809520,00
6,23895E+15;5,45243E+15;1,63177E+15;4,34162E+15;1,27711E+16;1,93895E+15;-1,06911E+16;5,10811E+15;1,16478E+16;6,23595E+15;1;2527027027027030,00
8,71421E+15;5,63036E+15;2,65461E+15;2,0637E+16;5,28184E+15;1,75003E+16;-1,83827E+16;4,89376E+16;1,12302E+16;4,6111E+15;0;2527601809954750,00
805;46;1,23085E+16;3,03333E+15;3,94063E+16;9,36333E+15;-1,30703E+16;3,03E+16;1,0075E+16;4,78667E+15;10;2533333333333330,00
7,60667E+15;5,94333E+15;3,45226E+16;2319;0;2,89667E+15;-1,39467E+16;3,37367E+16;124137;5,76E+15;5;2533333333333330,00
8,35444E+15;5,41111E+15;2,93083E+16;3,43667E+15;4,36282E+16;1,348E+16;-1,62747E+15;3,78778E+15;1,09909E+16;7,38889E+15;8;2533333333333330,00
805;46;1,23085E+16;3,03333E+15;3,94063E+16;9,36333E+15;-1,30703E+16;3,03E+16;1,0075E+16;4,78667E+15;5;2533333333333330,00
3833385;5,62333E+15;2,224E+16;6,47333E+15;7,81333E+15;1,21333E+16;-1,10363E+16;4,55667E+16;1,20539E+16;7,06E+15;0;2533333333333330,00
1,56709E+16;6,92778E+15;3,39435E+16;6,84667E+15;2,82747E+15;1,40756E+16;-1,05803E+16;5,98667E+16;1,3535E+16;6,67222E+15;1;2533333333333330,00
3,32133E+15;7,57778E+15;3,02929E+15;6,03444E+15;1,1963E+16;268;-1,24284E+16;4,01333E+15;1,17836E+16;7,60222E+15;4;2533333333333330,00
407;6,47E+15;1,99443E+16;4,55556E+15;11444444444;1,44133E+16;-1,2352E+16;4,15889E+16;1,22115E+16;8,92444E+15;10;2533333333333330,00
3,40327E+15;3,39267E+16;3,72215E+15;8,64867E+15;7,96133E+15;1,32747E+16;-8,57367E+15;6,45133E+15;1,37797E+16;7,90867E+15;7;2533333333333330,00
66246666667;5,00167E+15;1,41168E+16;9,43167E+15;1,63683E+16;3,85333E+16;-7,42733E+15;7,33333E+15;1,37161E+16;2,485E+15;11;2533333333333330,00
6,82667E+15;503;2422220;241;0;336;-1,36557E+16;1326;9,68057E+15;3,26333E+16;10;2533333333333330,00
7,19357E+15;4,87786E+15;2617525;6,895E+15;53642857143;7,8E+15;-1,44992E+16;7035;1,15721E+16;2,80943E+15;10;2542857142857140,00
7,77222E+15;3,83889E+16;1,8505E+16;4,06556E+15;5,82871E+15;1,16767E+16;-1,25951E+16;5,28E+16;1,26308E+16;4,26933E+15;0;2544444444444440,00
9,50038E+15;3,33453E+15;2,82518E+15;2,34179E+15;9,19784E+14;2,62555E+16;-1,58597E+16;6,41755E+15;1,11951E+16;2,12579E+15;5;2547169811320750,00
5,80776E+15;5,83691E+15;1,71745E+15;5,45462E+15;3,83685E+15;1,45811E+15;-1,2748E+16;3,98564E+16;1,17349E+16;7,18345E+15;0;2547272727272730,00
5,74E+16;612;4238820;8,35E+15;9,54E+15;203;-1,0357E+16;3,38E+16;1,2801E+16;257;1;2555555555555560,00
6,08125E+15;5,23E+15;1598505;5,4275E+15;3,16809E+15;2,83408E+15;-1,03555E+16;4,12958E+16;1,17806E+15;6,52875E+15;7;2558333333333330,00
8,00833E+15;5,08333E+15;1776160;3,03033E+15;6,12178E+16;1,83527E+15;-1,32962E+16;9,52767E+15;1,11938E+16;5,077E+15;0;2563333333333330,00
